path	line	chapter	no	text
temp/《零距离人性》/index.md	251	第二章 细察行为，了解性情	1	触摸在谈话或者聚会中，当一个人想要改变气氛或者从讨厌的话题中解放出来时，通常会用手去摸自己的肩部，好像要拂去什么脏东西似的。
temp/《零距离人性》/index.md	258	第二章 细察行为，了解性情	2	涂鸦在百无聊赖的时候，你是否会随手在一张纸上乱写乱画？相会不只是你，绝大多数人都会做出这样的举动。有时，人们在做这样的事时，也大无意识的。而这种无意识的行为往往能反映一个人的内心世界。
temp/《零距离人性》/index.md	285	第二章 细察行为，了解性情	3	点菜点菜式我们日常生活中常见的一种行为方式。由于个性的差异，人们点菜的方式也有所不同，不同的点菜方式反映的一个人从中从众心理的强弱。从众心理用通俗的话来说就是“跟风”，比如张三见李四买了一个什么东西，他自己也赶紧去买，而他可能对此根本不需要。
temp/《零距离人性》/index.md	292	第二章 细察行为，了解性情	4	拿烟尽管我们一再被告诫“吸烟有害健康”，但烟民的数量却是有增无减。男人吸烟被认为是有风度，女人吸烟则成为优雅的表现。不管是男人还是女人吸烟，其拿烟的姿势都会有所差异。比如有人拿烟像掷标枪，而有的人则喜欢反着拿……，从心理学角度来看，不同的拿烟姿势反映了不同的个性。
temp/《零距离人性》/index.md	301	第二章 细察行为，了解性情	5	握手握手作为现代社会中普遍的一种交往礼节，它不仅是一个人修养和风度的体现，同时也能反映出一个人内在的许多东西。当你与不同的人握手时，你会明显感觉到中间的差异，这就是各人性格差异所致。所以，通过握手这一举动来看人心，也是很有道理的。
temp/《零距离人性》/index.md	323	第二章 细察行为，了解性情	6	亲吻亲吻时男女之间表示爱意的一种行为。当然，也有些西方国家把亲吻当作见面礼，这也是友好额一种表示。不过，亲吻的身体部位不同，其反映的内心也不尽相同，心理学家据此推断出对方的性格，也不失为我们看透人心的一个好办法。
temp/《零距离人性》/index.md	339	第二章 细察行为，了解性情	7	喝水水是生命之源，每个人每天都要做的一件事就是喝水。但是，不知你发觉没有，每个人喝水时的方式却不太一样。比如有的人喜欢握住杯子的上端，而有的人喜欢握住杯子的中部等等，不一而足。那么，从一个人喝水的这个行为，我们又能看出些什么端倪呢？
temp/《零距离人性》/index.md	348	第二章 细察行为，了解性情	8	习惯性行为心理学家莱恩德曾说：“人们日常做出的各种习惯行为，实际反映了客观情况与他们的性格间的一种特殊的对应变化关系。”的确，人的许多性格特征，常常会通过许多习惯性的行为流露出来。
temp/《零距离人性》/index.md	366	第二章 细察行为，了解性情	9	男人的小动作对于一个女人来说，最幸福莫过于嫁了一位好男人，但要想嫁得好，还必须看得准。世间上有一样东西不能轻易相信，男人的承诺，男人的感情及男人的理由。可见，要想看准一个男人并不是件容易的事。但是不要紧，无论这个男人多么善于伪装，他那些不经意的小动作会泄露他的真实个性。
temp/《零距离人性》/index.md	380	第二章 细察行为，了解性情	10	吃东西的方式俗话说：“一样米养百样人。”同样是“吃”，不同的吃法却能反映同不同的性格。
temp/《零距离人性》/index.md	390	第二章 细察行为，了解性情	11	握电话筒的方式在信息化时代，打电话和接电话已是我们与外界交流的一种重要方式。对于用手机的人来说，当电话铃声响起，然后摁下接听键。但是，如果是传统的电话，你会采取什么样的方式握话筒呢？别小看这个不经意的行为，它可是观察他们内心的好方法哦！
temp/《零距离人性》/index.md	403	第二章 细察行为，了解性情	12	挤公车挤公车真是一件让人头痛的事，像打仗一样紧张激烈，好不容易挤上去了，还要随着汽车的摇晃和车里的人群一起做摇摆的“舞”。可是，生活就是这样，与其痛苦地埋怨它，反倒不如静下心来欣赏它。就是挤公交车这件事，你换个角度看，这也是一个透视人心的好机会。
temp/《零距离人性》/index.md	412	第二章 细察行为，了解性情	13	开车方式随着社会的进步，很多人都拥有了心爱的座驾。而以车代步的确节省了很多时间，也方便了很多。但是，一连串上升的交通事故却也令人担忧。据资料表明，发生交通事故的原因多与司机的开车方式有关，而司机的开车方式又大多是由其性格所决定的。
temp/《零距离人性》/index.md	428	第二章 细察行为，了解性情	14	下车方式每每电视里总会有这样一段情节：“当汽车停下来的时候，一位颇具绅士风度的男士，会绕到汽车的另一侧，为女性拉开车门。而这位女士会摆个 Pose ，然后优雅地走下车。当然，在现实生活中，下车就要随意很多。但不同的人，其下车的方式也不相同，这也可以反映他人内心的真实景况。
temp/《零距离人性》/index.md	438	第三章 穿着打扮，暴露内心	1	着装服饰是第二种皮肤，也是人们了解他人的一个途径。一个人总是试图掩饰赤裸裸的自我，而穿着衣服，但是又往往因为自己的衣着使得内心反而暴露于外了。因为一个人经过自己选择而穿于身上的衣服，正好表现出在他裸露着肉体时，所不能了解的内心。所以，有时候，我们将衣服视为与人体不可分离的部分，甚至视为“自己的化身”，均不足为怪。
temp/《零距离人性》/index.md	459	第三章 穿着打扮，暴露内心	2	穿衣风格一个人的着装是实实在在看得见的，而一个人着装的风格则是给人的一种感觉。如果说一个人的着装是这个人性格的外露，那么着装风格则揭示了更深层次的东西。因此，了解他人的着装风格，对看透他人的内心大有裨益。
temp/《零距离人性》/index.md	481	第三章 穿着打扮，暴露内心	3	鞋在西方国家，陌生人初次见面，总是会先从对方所穿的鞋子来判断这个人的身份和地位。这从心理学生也可以找到依据。一个人穿鞋的风格，正是他内心的体现。
temp/《零距离人性》/index.md	496	第三章 穿着打扮，暴露内心	4	背包上幼儿园的时候，你是否羡慕过邻家哥哥、姐姐们背着崭新的书包去上学；长大了，你是否又羡慕那些时尚的女士背着漂亮的“坤包”招摇过市，或者是幻想着自己哪天也能像模像样的提着工作包游走在城市中央……从小到大，每个人都会有一个属于自己的包，和一份难解的“背包”情结。而这种“情结”正是人73 V
temp/《零距离人性》/index.md	525	第三章 穿着打扮，暴露内心	5	眼镜在这个崇尚个性的年代里，眼镜已不仅仅是调节视力的工具，人们越来越懂得如何使用眼镜使自己看起来更明艳照人。因此，他们对眼镜的选择，其实就是他们内心的真实反映。
temp/《零距离人性》/index.md	530	第三章 穿着打扮，暴露内心	6	香水有句话是“闻香识女人”，这实在是经验之谈。何故？因为一个人对某种香味的偏好，常常是这个人潜意识的外在体现。当然，从香味不仅能识女人心，只要弄明白了香味跟人性格之间的关系，相信任何人的“心”都逃不过你的“鼻子”。
temp/《零距离人性》/index.md	537	第三章 穿着打扮，暴露内心	7	颜色在艺术家看来，最能直截了当触动人心的莫过于色彩和声音，它们都是用一种直观的方式，直抵人内心深处。即使文盲也能被图画和音乐所感动。可以说，对色彩的偏好反映了人最深层的心理特征和心理需要，是辨识其性格的重要依据。
temp/《零距离人性》/index.md	565	第三章 穿着打扮，暴露内心	8	领带曾有男士抱怨道：“上帝太不公平了，女人不仅衣服款式多，而且配饰还一大把，而我们男人，除了西装就是休闲装，就连主要的配饰——领带也不太好打。”姑且不论此君是否抱怨合理，但对于男士来说，作为其主要配饰之一的领带的确是有诸多讲究。能够把领带打好打漂亮的确需要不少技巧，而所打的领带和领带结，从侧面反映出某些人的心理特征。
temp/《零距离人性》/index.md	582	第三章 穿着打扮，暴露内心	9	发型现在，越来越多的人意识到发型对于整个形象的重要性。过去，人们把剪头发叫做“理发”，而今则叫做“美发”，由此可见对发型观念的转变。因此，到了美发店，人们总是会要求发型师设计适合自己的发型。而发型师也会根据个人的发质、脸型及气质来作相应修剪。因此，不同的发型往往表示人的不同个性。
temp/《零距离人性》/index.md	609	第三章 穿着打扮，暴露内心	10	帽子人类对美的追求总是不遗余力的。就拿帽子来说，可能最早发明帽子的人，只是想到用它来御寒。现在，市面上出售的帽子就花样繁多，有遮阳帽、运动帽、毛线帽……人们往往根据自己的喜好来选择自己所需要的帽子，而帽子也正好成了他人性格的外现。
temp/《零距离人性》/index.md	619	第三章 穿着打扮，暴露内心	11	妆容尽管我们倡导自然美，但仍有许多爱美的女士，通过化妆来使自己更光鲜靓91 V
temp/《零距离人性》/index.md	633	第三章 穿着打扮，暴露内心	12	戒指戒指是一种很私人，而又寓意深重的装饰物。所以，结婚的人们常常用戒指来栓住心爱的人。当然，除了担负着定情信物的重要使命外，戒指也能反映一个人的内心。
temp/《零距离人性》/index.md	649	第三章 穿着打扮，暴露内心	13	首饰漂亮的首饰就是人整体形象的一个点晴之笔。一个小的饰品有时能让人眼前一亮，让他人的目光围绕你而转。而每个人所喜欢的饰品都不一样。心理学家通过研究下列几种饰品的佩戴者，总结出了他们的性格特征。
temp/《零距离人性》/index.md	660	第三章 穿着打扮，暴露内心	14	T 恤T 恤由于其简单、大方的款式，赢得了男女老少的亲睐。在过去， T 恤只是用来保暖和吸汗的内衣，可是现在，它已演变成了一面公众告示牌，可以任由自己在上面随便记录或宣泄各种情绪和想法。所以，选择什么样的 T 恤可以直观地看出一个人具有什么样的性格。
temp/《零距离人性》/index.md	671	第三章 穿着打扮，暴露内心	15	手表随着手机的普及，现在戴手表的人越来越少，即使有佩戴的，也大多是为了装饰。但是，手表并不因人们的冷落而退居舞台，诸如那些具有强烈怀旧色彩的怀表、机械表仍吸引着人们的眼光，而具有多功能的新式手现也令许多时尚人士亲睐不已。无论是喜欢旧表，还是新式手表，人的性格早已映射出来，成为观察人心的途径。
temp/《零距离人性》/index.md	684	第三章 穿着打扮，暴露内心	16	衬衫喜欢穿白衬衫的人，其性格特征是缺乏主动性、判断力、羞耻之心的人。他们在色彩感觉上、在扮装上都非常优秀；相反的，不论对什么服装，只要穿上白衬衫都能相得益彰。同时，白色是表示清洁的颜色。
temp/《零距离人性》/index.md	690	第三章 穿着打扮，暴露内心	17	内衣内衣被称为“女人的第二肌肤”。时尚现代的都市女性除了看重社会地位和成就感，更追求实质上自然平和的心境和生活方式，她们往往凭借着内心柔软舒展的触感，给自己增添一份安定平和的感觉。
temp/《零距离人性》/index.md	700	第四章 体貌特征，暗藏玄机	1	体型近年来，对人的体型出现了很多分类，比如“城市型”、“农村型”、“海洋型”、“丘陵型”、“官僚型”等，这些类型层出不穷，好像是一些粗制滥造的便宜货，被削价拍卖，大大贬低了“型”的价值。实际上，确定一个“型”不是简单的事情，是要经过长期观察、研究，反复推敲的。当然，世界上的人千差万别，极为复杂，要想单单靠几个“型”就想把世界上各种各样的人都囊括进去也是不可能
temp/《零距离人性》/index.md	734	第四章 体貌特征，暗藏玄机	2	脸每个人都有一副独特而不容混淆的脸相，即使双胞胎也不例外，因此人们相见时，给人印象最深的就是脸。从这张脸上，大致也能反应出年龄、性别、种族烙印，而且通过表情也可以流露出其人的当时情绪变化状况。
temp/《零距离人性》/index.md	760	第四章 体貌特征，暗藏玄机	3	第一印象人与人之间的交往，通常会以外在的第一印象作为衡量标准。因此，外貌对109 V
temp/《零距离人性》/index.md	764	第四章 体貌特征，暗藏玄机	1	蓄着浓密的胡子当一个男人蓄着胡子时，容易给人一种成熟感和有男人味留，留下自信、包容、勤勉的印象，但是，难以让人产生信赖。
temp/《零距离人性》/index.md	765	第四章 体貌特征，暗藏玄机	2	眼镜的搭配一般来说，戴眼镜比不戴眼镜的人，看起来比较斯文有内涵，而且容易给人一种“沉稳、亲切、认真踏实、负责任、可信赖感”的感觉。
temp/《零距离人性》/index.md	769	第四章 体貌特征，暗藏玄机	4	眼皮有句俗话叫“左眼跳财，右眼跳灾”，也就是说人的祸福可以根据人眼皮的跳动来判断。这当然是缺乏科学依据的。眼皮虽然不能预测吉凶，但是却能反映出一个人的某些心理。研究表明，单眼皮的人大都冷静，有逻辑性，观察力和集中力均优，思虑深，意志坚强。做事细心、谨慎，有持续力，个性顽固。而双眼皮的人知觉性强，感情丰富，热情明朗，顺应性和协调性优异，行动积极敏捷。
temp/《零距离人性》/index.md	775	第四章 体貌特征，暗藏玄机	5	眼部眼睛是心灵的窗户，是窥视他人心理动向的捷径。心理学家的研究告诉我们，人的内心隐秘，心中的冲突，总是会不自觉地通过变化的眼神流露出来。
temp/《零距离人性》/index.md	783	第四章 体貌特征，暗藏玄机	6	眉毛眉毛是人的面部必不可少也是非常重要的装饰。对眉毛的要求一般有四个方面，即“清秀油光”、“疏爽有气”、“弯长有势”、“昂扬有神”，也就是说，眉毛应该有光、有气、有势、有神。在这四个方面，清秀油光显得最为重要。一个人的眉毛，如果能够油光闪亮，就像珠宝那样熠熠生辉，价值连城；如果暗淡无光，就像珠宝黯然失色，可能就一钱不值了。
temp/《零距离人性》/index.md	799	第四章 体貌特征，暗藏玄机	1	双眉上扬，表示非常欣喜或极度惊讶。
temp/《零距离人性》/index.md	800	第四章 体貌特征，暗藏玄机	2	单眉上扬，表示不理解、有疑问。
temp/《零距离人性》/index.md	801	第四章 体貌特征，暗藏玄机	3	皱起眉头，要么是对方陷入困境，要么是拒绝、不赞成。
temp/《零距离人性》/index.md	802	第四章 体貌特征，暗藏玄机	4	眉毛迅速上下活动，说明心情愉快，内心赞同或对你表示亲切。
temp/《零距离人性》/index.md	803	第四章 体貌特征，暗藏玄机	5	眉毛倒竖、眉角不拉，说明对方极端愤怒或异常气恼。
temp/《零距离人性》/index.md	805	第四章 体貌特征，暗藏玄机	6	眉毛的完全抬高表示“难以置信”。
temp/《零距离人性》/index.md	806	第四章 体貌特征，暗藏玄机	7	半抬高表示“大吃一惊”。
temp/《零距离人性》/index.md	807	第四章 体貌特征，暗藏玄机	8	正常表示“不作评论”。
temp/《零距离人性》/index.md	808	第四章 体貌特征，暗藏玄机	9	半放低表示“大惑不解”。
temp/《零距离人性》/index.md	809	第四章 体貌特征，暗藏玄机	10	全部降下表示“怒不可遏”。
temp/《零距离人性》/index.md	810	第四章 体貌特征，暗藏玄机	11	眉头紧锁，表示这是个内心忧虑或犹豫不决的人。
temp/《零距离人性》/index.md	812	第四章 体貌特征，暗藏玄机	13	眉心舒展，表明其人心情坦然、愉快。
temp/《零距离人性》/index.md	813	第四章 体貌特征，暗藏玄机	7	嘴中国人把“唇红齿白”作为健康的表征是很有道理的。那些嘴唇薄薄而且发青，舌头或白或黑，牙齿残缺不全的人，常常是消化系统出了毛病，因此引起生理上的病变而导致心理毛病。这样的人往往烦躁不安，悲观消极。
temp/《零距离人性》/index.md	849	第四章 体貌特征，暗藏玄机	8	鼻人的鼻子会不会“说话”，学者们看法不一，有人说会，有人说不会。
temp/《零距离人性》/index.md	867	第四章 体貌特征，暗藏玄机	9	下巴在现代社会中，你不可避免地要同陌生人打交通。你对他并不了解，但又必须作些交谈，这往往会令人感到无所适从。
temp/《零距离人性》/index.md	881	第四章 体貌特征，暗藏玄机	10	气质作家马基维利曾说：“一般来说，人们判断一件事物，多只注意外表，而不注意实质。每一个人都有眼睛，但只有少数人的眼睛有透视的能力。”
temp/《零距离人性》/index.md	894	第四章 体貌特征，暗藏玄机	11	身体讯息很多人都有这样的经验，生病了才发觉健康的可贵。
temp/《零距离人性》/index.md	898	第四章 体貌特征，暗藏玄机	1	额头126 V
temp/《零距离人性》/index.md	900	第四章 体貌特征，暗藏玄机	2	鼻子如果长在鼻梁，表示脊椎骨可能出现问题；如果长在鼻头处，可能是胃火大、消化系统异常；若在鼻头两侧，就可能跟卵巢机能或生殖系统有关。
temp/《零距离人性》/index.md	901	第四章 体貌特征，暗藏玄机	3	下巴表示肾功能受损或内分泌系统失调。女生容易在下巴周围长痘痘，可能是月经不调所引起的。
temp/《零距离人性》/index.md	902	第四章 体貌特征，暗藏玄机	4	左边脸颊可能是肝功能不顺畅，如肝脏的分泌、解毒或造血等功能出了问题。
temp/《零距离人性》/index.md	903	第四章 体貌特征，暗藏玄机	5	右边脸颊可能是肺部功能失常。
temp/《零距离人性》/index.md	905	第四章 体貌特征，暗藏玄机	1	横向条纹有些人的指甲上出现下凹或者横向条纹。这种人的体内可能有寄生虫，因此鼻子经常发痒。患有寄生虫病的人，常常是因为有蛔虫等寄生虫作怪，应该注意请教医生防治寄生虫。
temp/《零距离人性》/index.md	908	第四章 体貌特征，暗藏玄机	2	指甲软有些人的指甲比较软，这主要是身体的健康状况不好所致。面对这种情况，我们不是单单地保护指甲，而最重要的是想方设法改变自己的健康状况。只有健康状况得到了改善，指甲才会变得正常。
temp/《零距离人性》/index.md	910	第四章 体貌特征，暗藏玄机	3	指甲硬而易折有些人的指甲又硬又脆，很容易折断。一般来说，这种人患上了贫血症。要改变指甲的这种状况，必须首先着手治疗贫血症。指甲如果给人一种苍白的印象，这也是患了贫血症的征兆。如果指甲很有光泽，可能是甲状腺机能亢进；如果指甲出现红色，就可能是有心脏病；指甲发黑，是因为指甲出现了充血现象，血液循环系统出了问题。如果指甲的颜色不同，有的颜色深有的颜色淡，则是静脉系
temp/《零距离人性》/index.md	911	第四章 体貌特征，暗藏玄机	4	白斑指甲有的人的指甲上出现很多白斑，这不是好现象，可能是缺钙，也可能是寄生虫在体内作怪。这种人可能有神经质。他们常常很容易疲劳，有时还伴随着便秘。这样的人要多服用维生素 C ，阻止皮下出血。
temp/《零距离人性》/index.md	912	第四章 体貌特征，暗藏玄机	5	橄榄形指甲128 V
temp/《零距离人性》/index.md	914	第四章 体貌特征，暗藏玄机	6	形指甲有些人的指甲就像一把撑开的伞。这样的人皮肤比较弱，应该经常用冷水或温水洗刷皮肤，以增加皮肤的抵抗能力。只要皮肤得到了很好的锻炼，他们的肝脏就会不断强壮起来，患肝脏方面的疾病的可能性就小得多了。
temp/《零距离人性》/index.md	916	第四章 体貌特征，暗藏玄机	1	唇色苍白若指甲、眼睑也苍白，可能有贫血。
temp/《零距离人性》/index.md	917	第四章 体貌特征，暗藏玄机	2	唇色青紫若非因为气温过于寒冷，有可能是有贫血、心脏方面问题。
temp/《零距离人性》/index.md	918	第四章 体貌特征，暗藏玄机	3	唇色淡黄若脸色、眼白一样呈黄色，可能是肝功能不好。
temp/《零距离人性》/index.md	919	第四章 体貌特征，暗藏玄机	4	唇色红紫若非发烧或一氧化碳中毒，就可能有心脏病、肺病、心脏衰弱等问题。
temp/《零距离人性》/index.md	922	第四章 体貌特征，暗藏玄机	1	分量每次以两三条为适量。
temp/《零距离人性》/index.md	923	第四章 体貌特征，暗藏玄机	2	形状直径两三公分的条状为佳，过软或呈颗粒状则表示肠子有老化状况。
temp/《零距离人性》/index.md	924	第四章 体貌特征，暗藏玄机	3	气味正常者应无强烈的味道，若有酸臭味、焦臭味、腐败味，则是有肠老化现象。
temp/《零距离人性》/index.md	925	第四章 体貌特征，暗藏玄机	4	颜色黄色为正常，颜色愈深表示肠老化状态愈严重。
temp/《零距离人性》/index.md	926	第四章 体貌特征，暗藏玄机	5	硬度排便时若无压迫感或泻肚子状态则为正常。
temp/《零距离人性》/index.md	932	第五章 察颜观色，巧辨人心	1	表情的变化在人类的心理活动中，表情是内心活动的写照。透过表象窥探心灵的律动，把握情绪变化的尺度，了解感情互动的根源，表情就是传递这种信息的显示器。
temp/《零距离人性》/index.md	956	第五章 察颜观色，巧辨人心	2	接受表扬的态度人人都喜欢听恭维的话，这些赞美之词是对成绩的肯定，表示大众接受他们的行为或某种观点，是人人都期求的一种外界反应，受到表扬的人往往会得到心灵上的愉悦和满足。有的人把表扬看得特别重，甚至胜过生命和财富；也有的人把表扬看得微不足道。因此，我们可以从一个人看待表扬的态度来观察他的内心世界。
temp/《零距离人性》/index.md	966	第五章 察颜观色，巧辨人心	3	笑有一种运动可以带动脸部的全部肌肉，这种运动就是——笑。以全部表情来说，笑是极为重要的因素，在喜怒哀乐的表情变化中，喜与乐的直接表现就是笑。
temp/《零距离人性》/index.md	998	第五章 察颜观色，巧辨人心	4	眼神爱默生说：“人的眼睛和舌头所说的话一样多，不需要字典，却能从眼睛的语言中了解整个世界。”的确是这样，眼睛的语言，是人捡部的主要表情之一，它与一个人的思想感情是有着密切的不可分割的关系的。一个人的所思所想很多时候会通过他的眼神表现出来，所以，通过观察一个人丰富的眼睛语言，也可以在某种程度上对他有一个大致的了解和认识。
temp/《零距离人性》/index.md	1009	第五章 察颜观色，巧辨人心	5	脸上肌肉的变化一个人最可能流露出真实感情的部位是脸颊。
temp/《零距离人性》/index.md	1021	第五章 察颜观色，巧辨人心	6	喜怒无常古人说，坐如钟，行如风，卧如弓，立如松。意思是说，坐的要求是稳健而端庄，行的要求是迅速而有力，卧的要求是安静而自然，立的要求是挺拔而有气势。这种人，沉默静养的时候，气定神闲，喜怒哀乐不表露在脸上；不乱说话，不烦躁，能够自然而然地对待周围的一切。
temp/《零距离人性》/index.md	1026	第五章 察颜观色，巧辨人心	7	生理上的细微变化察言观色，并不限于只从表面上观察。其实，当一个人的感情发生变化时，143 V
temp/《零距离人性》/index.md	1031	第五章 察颜观色，巧辨人心	8	从左脸判断他人内心你是否注意过那些张贴在公车上或广告牌上的电影明星或模特儿的宣传照？或许平时你没有任何特殊的感觉，现在回想起来，大多数海报似乎是左侧面！
temp/《零距离人性》/index.md	1037	第五章 察颜观色，巧辨人心	9	观察表情的技巧若要正确地看出对方的真心，势必要对表情的变化有个彻底的认识，也要了解判断表情的原则，拿这些做基础，勤加训练，方能达到识人目的。
temp/《零距离人性》/index.md	1082	第五章 察颜观色，巧辨人心	10	为什么会判断失误通常，那些超级推销员都有敏锐的观察力，能在很短的时间内从客户的表情判断出其心里在想什么，并且能在一瞬间发掘客户的潜在购买需要，再适当的说服客户购买他所推销的产品。这样强的观察能力，颇令人惊讶和佩服，不过具有如此之强的观察力的人是很少见的。由对方表情看出其内在的心理，按成功的比例而言，如果对方是很容易亲近的人，胜算占 70 ％；如果对方是不易亲
temp/《零距离人性》/index.md	1101	第六章 听清“话外音”，沟通零距离	1	声音常言道，听话听声，锣鼓听音。通过人们发出的不同声音，说出的不同话语，来透视一个人的心，是很有道理的。声音可细分为声与音两个方面来说，既可由声来识人，又可由音来识人，但在实际运用中，通常都是用两者结合来识别人的心思的。
temp/《零距离人性》/index.md	1128	第六章 听清“话外音”，沟通零距离	2	口头禅日常生活中，许多人说话时常常在无意之中高频度地使用某些词语，形成了人们所谓的“口头禅”，而这些语言习惯最能体现说话人的真实心理和个性特点。所以只要留心，就可以从一个人的“口头禅”中窥见一个人的内心世界。
temp/《零距离人性》/index.md	1189	第六章 听清“话外音”，沟通零距离	3	语速在说话方式的特征中，首推速度。速度快的人，大都能言善辩；速度慢的人，则较为木讷。这是每个人固有的特征，依人的性格与气质而有所差异，不过，在心理学中，所要注意的，便是如何从与平时相异的言谈方式中了解对方心理。平日能言善辩的人，有时候忽然结结巴巴地说不出话来；相反地，平时木讷讲话不得要领的人，却突然滔滔不绝地高谈阔论。遇到这种情况，我们应小心，必定发生了什么
temp/《零距离人性》/index.md	1196	第六章 听清“话外音”，沟通零距离	4	语调与说话速度一样可以呈现特征的，便是音调。
temp/《零距离人性》/index.md	1235	第六章 听清“话外音”，沟通零距离	5	话题谈话——在我们的生活中是一项不可缺少的重要内容，任何一件事物都可以166 V
temp/《零距离人性》/index.md	1263	第六章 听清“话外音”，沟通零距离	6	谎言如果说我们的生活里完全没有谎话存在，那么这句话本身就是一句谎话。因为整个社会生活和个人生活，必须依靠一些无伤大雅的谎话保持平衡。
temp/《零距离人性》/index.md	1345	第六章 听清“话外音”，沟通零距离	7	幽默幽默是生活大菜中的调味品，如果没有幽默，那么你的生活将会索然寡味。但是，幽默并不是每个人都能掌握的技巧，不动幽默固然毫无生趣，但是超出了章法的幽默又会给人以哗众取宠之嫌。而如何运用幽默，则跟个人的性格有关。
temp/《零距离人性》/index.md	1355	第六章 听清“话外音”，沟通零距离	8	说话方式在绝大多数情况下，我们个人内心深处的情感，对外界一些事物的看法、意见及认识，都是通过说话的方式传达出去的。而他人接收到我们传达的信息，然后以此为凭据，进行分析、思考、总结和归纳，就可以知道我们是怎样一个人。
temp/《零距离人性》/index.md	1373	第六章 听清“话外音”，沟通零距离	9	话说习惯在社会交往中，语言是人与人之间交流的重要纽带。人的种种深层心理，常会在不知不觉中反映到措辞上，即使与自己想表现的自我形象无关，但通过分析这个人的语言习惯，大体可以看出这个人的真实形象。
temp/《零距离人性》/index.md	1401	第六章 听清“话外音”，沟通零距离	10	打招呼美国路易斯维尔大学心理学家斯坦利·弗拉杰博士声称，从一个人打招呼的习惯用语中，可以了解一个人自身的好多东西。事实表明，不同的打招呼的习惯，的确揭示了说话人不同的性格特征。
temp/《零距离人性》/index.md	1416	第六章 听清“话外音”，沟通零距离	11	吵架在大多数人的心中，“吵架”都是件不好的事，一来会伤了吵架双方的和气，二来还会使自己生气。怎么算都使一笔不划算的帐。但偏偏有的人就喜欢吵架，一旦吵架简直就是如鱼得水。当然有些人害怕生气，他们会竭尽一切去避免争执，即使不可避免也要尽快结束它。其实，对吵架是迎面而上，还是竭力躲避，都跟人内心隐秘的情感有关。下面我们着重分析一下，不同性格的人在吵架中的表现。
