line	major	no	text
145	玩转会议	7	会场上的“四个怎么样"有关会议场合的身体语言，我们已从上面几个侧面作了介绍。下面，再集中回答四个问题，作为这一节的结束。这四个问题，可以概括为“四个怎么样”。①怎么样使会议顺利进行?“……以上为今天会议所要求的报告及我的建议，不知各位是否有其他意见或任何问题，如果没有，那么今天的会议就到此结束，谢谢大家，散会。”如果会议能够像这样顺利结束，大约每回都会依据会议议题作形式化的报告或讨论，而后在毫无异议下顺利的结束会议。对于上述的会议情形而
156	玩转路途	1	怎样“就坐"或“就站"在与他人接触时，或站或坐都有个离对方多远为宜的距离问题。中国人习惯把在他人旁边坐下称作“就坐”，由此，我们这里也可以把在他人旁边站着叫“就列”。无论是“就坐”一还是“就站”，都不能侵犯他人私人空间。那么，怎么才能防止侵犯他人私人空间同时自己的私人空间不被他人所侵犯呢?最重要的就是要有个“感觉礼仪”。我们对自己的侵犯行为的识别能力以及对别人侵犯的反应能力是建立在“感觉礼仪”的基础上的。在一个图书馆里或一家咖啡馆里，如
160	玩转路途	2	人到底需要多大的私人空间当你读完以上内容，你会觉得掌握私人空间是很有意义的。同时，你也会提出这样的问题：人到底需要多大的私人空间?这个问题是必须回答但又是很难用一句话说清的。情人相见，抱在一起还嫌远，路人相见，擦肩而过都觉得太近。因此，人们在接触时私人空间的大小，在很多情况下是以他们的相互关系而定的。身体语言研究者们，正是从这个角度，对私人空间作了不同关系决定不同距离的分析。美国西北大学人类学教授爱德华·T·赫尔博士长期以来在积极研究人
171	玩转路途	5	研究证明，鼻子也会“说话"人的鼻子有没有身体语言，学者们看法不一，有人说有，有人说没有。认为鼻子没有身体语言的理由是，鼻子本身是不能动作的身体，就象耳朵一样，因此，它们自身不能发出“姿势”信息，也就不可能有身体语言。至于用手摸鼻子和摸耳朵所发现的信息，应归为手的“语言”。与这种见解相反，有的学者坚持认为鼻子跟耳朵不同，耳朵确实不会动。就这一点，人不如有些动物，如狗遇到“风吹草动”就竖起耳朵，这表明有“情况”。人的耳朵是“死”的，它只能跟
179	玩转会客	2	口蜜腹剑与推心置腹如若你曾接待过许多访客，想必除了推心置腹者，也肯定会有口蜜腹剑之人。“口蜜腹剑”一词源于北宋司马光《资治通鉴》卷二百十五《唐纪三十一·玄宗天宝元年》。原文是：“李林甫为相，凡才望功业出已右及为上所厚，势位将逼已者，必百计去之，尤忌文学之士，或阳与之善，昭(啖)以甘言而阴陷之。世谓李林甫‘口有蜜，腹有剑’。”李林甫是唐玄宗李隆基时的兵部尚书，后任中书令，此人为人阴险奸诈，忌贤妒能，表面上与人为善，背地里进行谗陷。当时的宰
200	玩转会客	9	恋恋不舍——绝妙的告别会完客，谈完话，客方就该告辞了，主方便要送客走。无论是客还是主方，都不能动作太快，也不能露出喜出望外的表情，否则，就会给对方一种“啊，原来你早就想结束谈话呀!”的感觉。这样，就会影响你们的以后交往。最佳效果的告辞就是双方都在身体语言上显得恋恋不舍，以便对方留下深刻的印象。“恋恋不舍”一词，原指贪念荣禄，后演变为对人的依念之情。最早出自西汉司马迁的《史记·范睢蔡泽列传》。原文是：“公之所以得无死者，以绨袍恋恋，有故人
242	玩转家庭	1	家庭探秘如果有几个人碰在一起，家里也好，社交场合也好，带头人的姿态便是集体的榜样，其他人会先后模仿。倘若妻子是姿态的带头人，可以推测，在家里她说了算，至少在作出决定时，她起主要作用。一位心理学家研究过一个 5 口之家吃饭时的席次，父亲坐在上首，他确实也是一家之长，妻子并不和他争家长之位，坐在他的右边，即使在吃饭时也能保持夫妻间的亲密关系。有趣的是孩子们的席位和姿态，最大的女儿无意识地在和母亲竞争，她也要取得父亲的宠爱，坐在父亲的左边，同
258	玩转家庭	7	在家里，男女平等难“妇女要解放”，“男女要平等”，这是世界妇女解放运动中最为响亮的口号。但是，要真正实现这些口号，是非常不容易的。在家庭，妻子被称为“主妇”。而主妇的含义并不是说她就是一家之主，而往往是指家务应由妇女为主来承担。这叫男人“主外”，女人“主内”。由于这种分工，就容易造成大男子主义，即男人是一家之主，女人是附属于男人的。一旦出现了这样的夫妻心理，家庭的身体语言就会反映出来。比方说，吃饭时，丈夫理直气壮地坐在饭桌的“首席”上，
266	玩转舞会	2	被冷落的漂亮妞常言道：“爱美之心，人皆有之。”所以，在舞场上，漂亮女士的“行情”总比不漂亮的好。一般人都会这么认为，但实际上也不尽然。西方有位研究者专门观察了舞场的情况。他说，有些漂亮女子是很难接近的，然而她们的内心却在等待着。什么原因呢?问题就出在身体语言上。这位研究者写道：在一次舞会上，我观察了一位极其漂亮的姑娘。我看见她和一个女朋友站在墙边，她高傲、冷漠，就像童话中的白雪公主一样不可接近。我认识这位姑娘，我知道她根本不是这种人，后
277	玩转舞会	6	眼神及其在舞场上的运用劳夫·瓦多·爱默生说：“人的眼睛和舌头说的话一样多，不需要字典，却能够从眼睛的语言中了解整个世界。”在舞场上，谁也不会大声喧哗或滔滔不绝的说个没完，许多意思，都是用眼睛说出。所以，我们先来了解一下眼神及在舞场上的应用。只有注视到对方的眼睛，彼此的沟通才会建立。有些人在与我们谈话时会使我们感觉很舒服，有些人却会令我们不自在，有些人甚至会看起来不值得信任。这主要是与对方注视我们时间的长短有关。当对方与自己目光接触时间超
282	玩转舞会	7	千万莫“盯"人如果有人“盯”着你看，你一定很反感，甚至会产生敌意。在舞场上，有的男士想邀请某女士跳舞，但又吃不准对方的态度，于是，就可能盯她一会。一旦女士发觉你在盯她，她内心里就会生出一种厌恶你的情绪，即使勉强应邀跳一曲，她也绝对不会很投入。所以，千万莫“盯”人。在其他公共场所也一样。“看什么看?”这就是人被“盯”火了时发出的粗叫声。“盯”，换个说法就是“凝视”。关于凝视有两条规则：第一，我们不凝视人。第二，我们只凝视非人。我们可以凝视
292	玩转情场	1	从女人胸脯捕捉“性"信号在身体语言学者罗韦政编译的《肉体语言术》一书中，专门谈到“女性胸部发出“性信号”的问题。书中说，由于不断地进化，使男人和女人胸部的差异更为明显。男人以“宽厚的胸脯”或“毛茸茸的胸脯”来显示男子汉气慨。当男人终日挺着胸时，也不一定就有性意识，因为这是勇敢、刚强的象征。而女性则不然。当女性作出挺着胸脯姿势，特别是遇到男性把胸脯挺得更高者，多半是受潜在的性意识的指使。象征女性的最明显标志，是胸脯上的乳房，而女人在男人跟
302	玩转情场	6	姑娘火了，她要叫警察他，名字叫艾伦，往美国的一个小镇上。艾伦年纪已经不小了，因而接触姑娘的愿望也就越来越强烈，以便从中物色他称心如意的对象。艾伦从那小镇来到纽约。一天晚上，他应邀参加好友特德举行的一次盛大鸡尾酒会。在去特德家的路上，艾伦看到他前面有一位漂亮的黑发姑娘正穿过马路，然后沿着人行道蹈罡达。艾伦跟在她后面，对她那种露出邀请意味的步态感到惊讶，她到底是什么意思?艾伦根据那位姑娘的走路神态，即一扭一扭的那种身体语言，判断她是有“那个
