major	no	after_prefix
玩转职场	6	懂“体语"你将永远胜人一筹一个懂得人体语言并善于应用人体语言的人，如果能将他所了解的姿势同周围人的感情联系起来，他将永远比对方胜过一筹，处于主动地位。在一切有人际关系的场合，我们都会观察到，某人在说话的时候，不仅他或她的嘴巴在动，他们的眼睛、眉毛、头和手以及其他某些部位都在配合着说话的内容作出一些动作。这每一个单独的动作还不是真正的姿势，研究身体语言学的谢夫伦教授把它们叫做“逐点动作”，一系列的逐点动作可以组合成“姿势”，姿势已基本上接近“体态”。一个姿势是由“广泛地位置移动组成的，其中至少有一半人体参与这种移动”。一种姿势大约保持 5 分钟时间。在社交
玩转职场	7	在瞬间，即可改变与上司的关系怎么处理与上司的关系，这是许多人都会遇到的问题，或许，有不少人正在为此事而苦恼着。保持良好的工作关系，才能使个人在工作上获得好成绩，尤其是上司和下属间；如果无意问产生了些冲突或误会，必须设法立即补救，如：第一、无意中反诘上司有时在会议中，或其他场合等，因为太热衷于讨论了，不小心对上司作了反诘，“哎呀!糟了!”此刻，必须看着对方，并致以带歉意的注目礼，并且在以后的过程中要一直注视着上司，对于上司的发言，要不断点头，并做出非常赞同的样子。第二、做事逾矩时和顾客交涉商务时，如果有上司在场，而你却做了越权的事时，即刻中断和对方的交谈，
玩转职场	8	他寡言少语，怎么也当上了头头有人对他人的影响力是靠话语产生的，这种人通常被看成是“能说会道”的人物。有人对他人的影响是靠身体动作产生的，这种人往往是含蓄的“力量式”人物。西方曾有人研究了一个群体组织，证明寡言少语的“力量式”人物，也能当头头。这是一个青年组织，其中有 3 个青年是出名的“话匣子。”有人把这个组织的活动拍成了电影，放映后发现其间 72—93％的话是这 3 个人说的。这个组织有 2 个头头，其中一个就是话匣子，他叫汤姆。另一个头头是鲍勃，是个文静的青年，他是该组织最沉默的人之一，根据详细分析，发现鲍勃只说了 16％的话，那么鲍勃怎么会成为头头
玩转职场	9	老板驾驭部下的“体语软件”上司驾驭部下，是非常重要的。看一个领导者胜不胜任领导工作，很重要的一条，就是看他能不能驾驭局面。驾驭部下需要权威，需要命令。但是，仅仅有了权威、命令等“硬件”还不够，还需要有“软件”与之配合。“软件”之一：称呼部下的名字，可以使部下增强责任感。在西方，有一种被称作所谓的杂交、乱交的舞会或是换妻的聚会。在这类场合中，参加的人都必须戴上面具。我记得曾经看过这类的照片，因为参加的人都袒呈裸露且戴着面具，所以聚会场面的气氛相当怪异。面具具有隐藏自我的作用，同时也有解放自我欲望的作用，因此会使人变得无法自制的纵情声欲，所以为此类的聚会制造
玩转职场	10	由走路来了解你的职员查尔斯、柴契尔在《罗西亚德这一家》中描写了一个人的走路姿态：“一条腿不灵活、局促、僵滞而不能优雅地移动或站稳，好象对另一条腿心存戒惧，而想逃开似的。”根据这段描写，我们完全可以闭上眼睛想像出此人的走路的特征。在现实生活中，每个人都有其不同的走路姿态，使他的朋友一眼便认出来。至少有一些特征，是因为身体的结构而有所不同，但是步法、跨步的大小和姿势，似乎是随着情绪而改变的。假如一个小孩很快乐，他会走得比较快，脚步也轻快，反之，他的双肩会下垂，走起路来好象穿着铅底的鞋一般。莎士比亚在《特尔勒斯和克尔丝达》一书孛，对一只大公鸡的走路姿态有很好的
玩转职场	11	切莫三脚踢不出个屁这里谈的是挨批评训斥的艺术。人非圣贤，谁能无过?当你做错一些事时，被上司发觉或是有人告到上司那里，你就可能要挨训斥了。这时，你切莫三脚踢不出个屁来。例如，在公司里，常能听到经理对手下人厉声说：“为什么会算出这样的数字，去年的业绩也比这个数字高，不可能出现这样的数据。”“这像是一份像样的报告吗?你究竟在想些什么、做些什么?”听这样的谈话情形，可能是上司不满意报告书的内容，因而责备职员，责斥声持续不断。“你是怎么听话的，我难道没有告诉你应该怎么做吗?竟然作出这样内容的东西来，你过去曾经做过几次，你究竟在想些什么?真是的。”上司的声音愈来愈大
玩转生意场	1	“尖塔式"的手姿尖塔的姿势。这是把两手指尖合起来，形成一种“教堂尖塔”的手势。这是一种有信心的动作，有时也是种装模作样、主教式的、自大或骄傲的动作。它及时传达出其人对自己所说的一切十分肯定。有些公司经理在与对手商谈时，常用这种尖塔的姿势来强调他们绝对的自信。尖塔姿势有公开与隐蔽的两种不同的尖塔姿势。一般妇女常用隐蔽的形式，即一种低姿态的尖塔动作，她们在坐着时把手搁在膝上，在站着时把合着的手轻放在及腰的位置。职员、律师、学院院士等处理行政业务的人，往往摆出尖塔的姿势。而且根据我们的资料统计，自视愈高的人，尖塔姿势的位置也愈高，有时甚至齐眉，从手缝中看人。这
玩转生意场	2	“背握式"的手姿这种姿势，就是两手在背后相握，或者是一只手握另一只手的腕部，或者是一只手抓着另一胳膊，但共同点都是置于背后。许多当过兵的人可能都对这种姿势很熟悉。尽管部队规定在正式场合不许袖手和背手，但还是可以看到在非正式场合，在一群新兵聊天的时候，突然老兵班长来了，他往往就是背握着手，昂起下巴，在新兵中走来走去。把这种姿势换成语言来表示，就等于他在说：“我是老兵，我是班长，你们得听我的。”这是相当自信的姿势。据说，英国皇室中的几位显赫的男性有种著名的习惯：走路时，仰起头，下巴抬起，两手在背后，一只手握住另一只。不只英国皇室用这种姿势，许多国家的皇室也常
玩转生意场	3	卖方与买方的“体语"战我们观察过生意场上卖方和买方在交易过程中，进行非语言沟通情况，并与一些从事商品推销工作的人员作过交谈。他们都是在某些商品专销公司长期做推销，有时跑到客户家去推销，更多的时间则是在公司里坐等买方上门。他们都说，可由买方进入公司后坐下的动作中，判断出购货心理情况。 这说明，尽管这些推销人员尚未学习过身体语言学方面的理论，但在商务实践中，已经多少掌握了一些“体语”沟通姿势。据我们观察，在许多买卖双方都很精明的销售活动中，双方都在心理上有一种“我一定要胜过你，你一定输”的潜意识。这种潜意识的外在表现，就是买卖双方的讨价还价。卖方非得千方百计
玩转生意场	4	石膏点豆腐，一物降一物每天打开电视，你都能看到各种宣传性广告，这都是信息爆炸的产品。如果回想一下，现在的广告和几十年以前比较，数量并没有减少，但人们对广告的反感情绪却减少了。这是因为广告大都能配合消费者的消费时机。如各种家用电器什么的。当人们有钱购买这些产品了，广告就成了他们所需要的信息，再加上现在的广告制作也不那么千篇一律了，所以，也就不很惹人心烦了。就商业而言，往往需要说服别人，而说服的技巧人人不同，需视对方的情形而随时变化。这就叫“石膏点豆腐，一物降一物。”现在，以下提供一些较具效率的方法给你参考：第一、对固执枝梢末节者一微波攻击：这类型的人广泛地
玩转生意场	5	正确运用“假眠效果”当你和朋友喝酒聊天摆龙门阵时，经常会互相询问：“业务推展不顺利”、“交易碰壁”、“自己无法突破”等问题应如何解决，在纷纭的意见中，令人印象最深刻的建议就是：“睡觉好了!”为什么呢?因为当你询问如何改善当前情况时，假使工作无法进展，那倒不妨暂缓这项交易，或许等以后出现更好时机时再谈。这种心理在心理学上是可以找到立论的根据。说服他人时，并非都能立即显示成效，往往必须经过一段时问，此称之为“假眠效果”。以上所举例是确有其事，足供验证。人的脑海中记忆的事物随时都会有所变动，增添或遗忘，后者则居常数。但所欲说服的内容却较为特殊，经过一段短暂时问
玩转生意场	6	好像矮人一截，实则高人一等自古以来，在他人面前把自己的身体放低，这是一种建立从属关系或友好关系的方法。例如，某个领导者讲话，总是处在高出听众的位置上讲，法官在法庭上更是高高在上，就连西方一些国家出现在街头的抗议活动中，演说者没有讲台时就站在一个什么破木架子或一个肥皂箱上以显得比别人高大。心理学上认为，可能是因为受把社会分为上层社会和下层社会的习惯势力的影响，因而人都有一种往“上”的倾向。“人往高处走，水往低处流。”这句俗语最能反映出人的这种心理。 第二次世界大战爆发前不久，查理·卓别林拍摄了影片《大独裁者》，和卓别林的所有影片一样，这部影片也充满了人体语
玩转生意场	7	吸香烟与叼着眼镜腿吸香烟的人你见过，那么，叼眼镜腿的人你见过吗?你没见过，我见过。记得不久前的一天我正在写作的时候，突然觉得有些头痛，估计是感冒了，于是到门诊部去看医生。候诊室门前的长凳上已经坐了十几个人。其中，有三个人正在吸烟，尽管明明墙上挂有“禁止吸烟”的牌子，他们还是照吸不误。这也不奇怪，许多挂在墙上的牌子，包括“禁止”什么，“不准”什么等等，都是摆样子的，没有几个人真正去执行。所以我说这三位在门诊部前“禁止吸烟”的牌下吸烟不为奇怪。但是奇怪的是，我发现坐在凳子顶头的那位四十多岁的男子，他无意把眼镜的一只腿叼在嘴里。别人吸烟，他却在“吸”眼镜腿。再
玩转生意场	8	会说的不如会“坐"的在商业洽谈中，一般都是坐在一张桌子的周围进行交谈。身体语言研究者们发现，座次的安排，对于谈判的情绪、气氛和结果，都有着一定的影响。因此，这也是生意场上不能不注意的。有人认为，会说的不如会“坐”的。 因为坐的位置不对，说得再好，人家也不一定听得进。通常在会议室之类的场合洽谈较多见，所以，我们以会议室的长方形桌子的座次为例来谈这个问题。假设这是一张会议室长桌：同时假设对方是甲，你是乙，那么，你在这张桌子周围有四种座次，每种座次反映出你想与对方建立的关系。要是你坐在乙 1 的位置，你与对方甲隔着桌子的一个角，这叫“桌角座次”。这种情况多半是
玩转生意场	9	注意客户的手和脚伯特伦·罗梭在《婚姻与道德》中写道：“自制的作用就象火车的刹车一样。与你发现走错方向时是很有用的，不过方向若对的，就会有害了。”罗梭这里所说的“自制”，是指人在高度防卫心理作用下的一种自我封闭状态。要是某人处在这种状态，你向他说什么他也听不进去的。所以，在进行商谈和做推销时，特别要注意这一点。表现人自制的身体动作很多，但最明显的还是在手和脚的摆放姿势上。下面是一个典型的女性自制姿势。从背后看，这姿势像个“4”字。这姿势几乎清一色是女性使用。即一只脚的脚尖钩在另一只腿上以加强防卫性姿势，当这姿势出现时，你可以确定这位女性心境漠然，且像乌龟缩
玩转办公室	1	由姿态了解部属心态有些研究资料指出，一般上司对年轻人所下的结论通常是“想法、价值观都与上一代不一样”，所以，他们常常认为年轻人使人烦恼的地方特别多。这就有必要多花费时间，尽量地设法了解他们的心态，才能和他们沟通。因此在指示、打招呼、谈话、偶遇时，要多多观察他们的行为态度以了解他们的心态。原则上“和对方的距离愈近愈能表示彼此之间的好感”，但通常彼此的距离不会太过接近，因此有必要考虑“视线相对的频率”，根据心理学的实验，如果某特定对象保持距离，基本原则应与对方视线相对，以弥补两者间因距离而疏远的关系。下面就来看看双方的关系位置所造成的彼此关系。第一、对方虽站
玩转办公室	2	“看他那样。官气十足"官僚主义是许多权力机关的通病。我们常常能听到一些到权力机关办事的人一出办公室就说：“看他那样，官气十足。”“那样”是指哪样呢?一是站样：他左手握拳撑着腰，右手掌扶撑着办公室的墙。这姿势似乎在说：“这办公室归我所有，连墙都是我的。”这种心理必然导致他把自己看成是“主人”而不是“公仆”。说这种人“官气十足”是一点也不过分的。难怪从事人事管理的人会因经常用以上所述的姿势而感到内疚。有人发现刚升上这位置的人也会突然用起这姿势，而他们过去几乎是不用这种姿势的。其实，这并不奇怪，官僚，官僚，有官才会有僚。二是坐样：你是不是觉得这个形象更加官僚化
玩转办公室	3	从下指示中看你上司是否自信动物学家们研究发现，狗儿到处撒尿并不是随地大小便，而是用气味告诉同类：“这地方我已经占领了。”这就如同地痞流氓争夺地盘等，都是与建立势力范围有关的行为。而在公司里不管是有意识或非意识，每个人也都拥有自己的势力范围。在自己的势力范围中，会使人觉得轻松自在，凡事也比较有信心。而若要走出势力范围必要有某种勇气。同时也会显得相当紧张。上司指示部属的情形也是相同的，上司如在自己的势力范围内指示部属，多会显得较为轻松自在，传达的指令也会较为清晰有力，所以上司才需要特别的小房间及大办公桌。上司是否执着于坚守自己势力范围?可看出他内心中的意识型
玩转办公室	4	通则不痛，痛则不通一看这标题，大家都会知道这是电视上的一句广告词。但它却说出了一个真理。不仅在人身上“不通则痛”，在办公室里，有时上下级之间出现些“不痛快”，也是没有沟通引起的。威廉·哈兹利特曾说过，每个人都会有担忧什么的时候，所以“忧虑的重担象犯罪一样地压在心灵上； 以致于忙碌的人通常有一种不安、焦虑和急忙的犯罪感。”人在忧虑的时候，不希望有人来打扰，因为需要独立地思考一些问题。然而，许多人不懂得这一点，越是别人心烦的时候，他越是喋喋不休地说个没完。有些上司对下属的不满，就是这样引起的。人有好事时，喜出望外，而人有忧虑时，愁眉苦脸。可见，从身体语言上是
玩转办公室	5	哟，连桌椅都在传递信息除了人的身体能传达信息外，办公室的设施等物品，也具有传递某种信息的效果。例如，可以用椅子作权威性展示。你曾经在应征工作时，感到压迫或无助吗?面试人看起来是那么高高在上并有压迫性，而自己却感到渺小而微不足道。这是面试人技巧地把他办公室的布置得使自己显得身份权力较高，同时使你显得渺小。有几种座椅的安排可以在办公室里造成这样的气氛。用椅子来提高身份权力的因素有：椅子的大小及椅子的附属物，椅子的高度，以及与对方座位的相关位置。首先，椅子有没有高背很重要。椅背的高度可以显出一个人的地位，高背椅就是大家熟悉的例子。椅背愈高，坐的人的地位与权力就
玩转办公室	6	无论官大小，说假话总归不自然在办公室里，领导者经常要听取下属的工作汇报，要经常与各方面的来访者交谈。他们明知在这些信息中有真有假，但又真假难辨，因此，难免上当受骗，对一些人或事作出错误判断。如求职者说他很能干，一旦接收使用又不行。那么，你如何能知道别人是否在说谎呢?辨认出非语言的欺骗是一项非常重要的观察技巧。这样，任何的欺骗讯号者骗不了人。有一种最常用的欺骗象征是三只聪明的猴子，它们不听、不说、不看非礼的事。所以，他们也不用手去摸脸，这种手脸姿势就是人类欺骗姿势的基本架构。换句话说，当我们看到、听到、或说了谎言或做了不好的事，我们常会想用手遮住眼、耳或嘴
玩转办公室	7	在厕所里碰见头头怎么打招呼在生活中，有时会出现一些尴尬的场面，叫人不知如何应酬才好。 比方说，你正想离开座位上洗手间，坐在对面的上司也站起来了，这时你可能会坐下，等他从洗手间回来后你再去。最尴尬的是，正当你在厕所里方便时，你的头头也进来了。在上述的情况下虽然你并没有作坏事，但却不愿意在这些情形下和上司招呼，因此一瞬间便会错失和上司打招呼的机会，此时你会变得局促不安、不知道该如何应对。相同的，此时上司的感受和你一样尴尬，也会不知所措。但是如果让这种情形一再发生，会让对方留下“真不上道”的坏印象。当你遇到这种情形时，装作没有看见不是最好的方法，甚至会有不好的
玩转会议	1	从“头"说起会场上的身体语言，主要是反映在人的头部，所以，我们就从“头”说起。西方有的研究人员，把各种会议的场面拍成录相片，结果发现，人们在会议上的情绪和态度不同，头部姿势也有明显的不同，并且，随着情绪和态度的变化，头部姿势也会发生变化。因此，研究者认为，一个人会者，对演讲人的观点，所持的态度如何，一看他头的姿势，就能知道个大概了。他们把会场上的头部姿势概括为四种，即：直竖着的头、斜偏着的头、向下低头和用双手在脑后反托着的头。直竖着的头。这姿势的含义是“不偏不倚”。在中国古代哲学中，有所谓“不偏不倚谓之中”的说法。身体语言学的研究表明，一个人对于所听到的
玩转会议	2	狐假虎威与借光发言狐假虎威的典故出自西汉刘身《战国策·楚策一》。书中写道：“虎求百兽而食，得狐。狐日：‘子无敢食我也。天帝使我长百兽，今子食我，是逆天帝命也。子以我为不信，吾为子先行，子随我后，观百兽之见我而敢不走乎?’虎以为然，故遂与之行。兽见之皆走。虎不知兽畏已而走也，以为畏狐也。”公元前 369 年，楚肃王弟弟楚宣王(良夫)即位。有一天，楚宣王对群臣说：“吾闻北方之畏昭奚恤(当时楚国的名将)也，果诚何如?”即，我听说北方各国都怕昭奚恤，这是为什么呢?群臣莫对。这时有个名叫江乙的魏国智者，站出来回答楚宣王，他首先讲了上面这个狐假虎威的故事，接着说：“
玩转会议	3	主持会议的“雕虫小技”有一位公司部门经理对我说，他最不愿意召集开会，因为有两个与他意见不和的人，总是在开会时故意提出反对意见，制造辩论的气氛，常常影响会议的正常进行。对于这样的问题，用什么办法解决呢?当然解决的办法很多。这里介绍的就是一些小窍门，虽属“雕虫小技”，但能解决问题。如会前通气就是一种，有的身体语言学书上称之为“事前照会”。“事前照会”的作法常会让人留下不好的印象，然而在许多情况下这种作法却是平常的事。事前照会确有其有利的一面，譬如某家著名的百货公司在例行董事会中突然解聘该公司的总经理，这位总经理便在会场上大声吼叫“为什么?”，于是这件事便成为
玩转会议	4	此法可治“恐会症"“恐会症”，是一种无法用药物治疗的“病”。故名思义，所谓“恐会症”，就是害怕开会的人。有一位某名牌大学的研究生，分配到一个不小的机关工作。他说，他不怕出差辛苦，不怕加班加点地干活，也不怕工作中遇到的各种困难，就只怕一件事，那就是开会。他说：“只要一听说要我去参加什么会，我头就痛，一坐一上午，有时下午还接着开，真是受不了，我宁愿去扫大街、掏大粪，也不愿没完没了地坐在那里开会。”当然他话说得有点极端，如果真让他去扫大街、掏大粪，他可能觉得还是去开会好。不过，可以从他这番话中看出“恐会”情绪。在文山会海已成为社会病的情况下，有这种“恐会症”的
玩转会议	5	扯着根本不存在的线头研究人类行为学的学者，有人根据人类诱发思考的方法不同，将人做了有趣的分类。这种分类既不同于从性别上把人分成男人和女人，也不同于从年龄上把人分为老年人、中年人、青年人和小孩。它是从人的身体部位上分的，如从嘴巴、手、脚、眼睛等部位上，把人们分别划分为口人、手人、脚人、眼人、耳人等等。因为诱发思考的方法不同，所以会有如此有趣的分类，所谓的“手人”是譬如要拿着铅笔转动才能思考的人，而“脚人”是指必须走来走去才能想出好方法之类的人，而听到别人说话可以引发自己的思考，这就是“耳人”的类型。而“眼人”是指读文章时，脑筋较能灵活运思的人。依此分类，开
玩转会议	6	他可能是想发言在咖啡屋里，如果你看到一对男女，隔桌而坐，正面面相对，窃窃私语，即使你听不见他们说话的内容，也可以从二人的身体都身前倾这一姿势中，判断出他们二人之间正谈得情投意合。如果二人的身体都是往后仰靠在自己的椅背上，那么很显然他们对这次会面的谈话兴趣不大。很可能他们一会就要起身离开了。根据这一观察，我们也可以对开会时人们表现的姿势，来判断他们对这次会议的兴趣和态度。无论何种会议，在出席者之中，必然可以发现一、二人低头，做出捏鼻梁的动作。做出此一行为时，如果问他：“你的意见如何?”他一定愈益三缄其口，甚至闭起两眼哩! 究其症结所在，是因为他借着捏鼻梁的
